Differential,203,12SD80,12NC29
Pc14,0,4,4
Pc35,;,4,1
Pc36,2,4,1;
Pc38,1,4,0
Pc39,1,4,;
Pc40,;,4,4
Pc45,;,4,0
Pc46,1,4,1;
Pc48,;,4,0
Pc50,;,0,0
Pc51,;,4,;
Pc52,1,4,0
Pc53,4,4,0
Pc54,2,1;,2
Pc55,1,4,1;
Pc56,2,4,1;
Pc57,;,4,1
Pc58,0,4,;
Pc59,0,4,;
Pc60,;,4,4
Pc61,;,4,4
Pc62,2,4,1;
Pc63,3,4,0
Pc64,2,4,1;
Pc67,3,4,3
Pc68,0,0,0
Pc70,1,2,0
Pc71,4,4,0
Pc91,0,0,0
Pc94,;,0,0
Pc96,;,0,0
MARVELOUS,4,4,4
H548,1,1;,1;
IA B605Xsel.,;,4,0
WI X4361-9,0,4,;
TAM-O-405,0,0,0
Belle,0,0,0
HiFi,0,;,0
Leggett,0,0,0
Stainless,0,0,0